E[1] [eV],Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100,Im(eps)_nbnd_110,Im(eps)_nbnd_120,Im(eps)_nbnd_130
15.000000,0.76816800,0.92725600,0.87337800,0.76830700,0.71202300,0.70274500,0.70233700,0.70281100,0.70322100,0.70339700,0.70365600
15.037590,0.62072000,0.93580600,0.72403900,0.62403400,0.57940800,0.57253700,0.57226800,0.57263700,0.57295400,0.57309300,0.57329200
15.075190,0.51593000,0.79239000,0.57831000,0.51678400,0.48761200,0.48310000,0.48290600,0.48314300,0.48334900,0.48343900,0.48357200
15.112780,0.44063000,0.62044100,0.48276700,0.44748200,0.42720400,0.42434900,0.42419700,0.42433000,0.42445100,0.42450400,0.42458700
15.150370,0.38652300,0.49642100,0.42492700,0.40402400,0.39340900,0.39238200,0.39232200,0.39236900,0.39241400,0.39243400,0.39247100
15.187970,0.35536600,0.42300600,0.38810900,0.38508300,0.38426600,0.38474600,0.38478200,0.38477000,0.38476100,0.38475900,0.38476300
15.225560,0.34792100,0.38713000,0.37080600,0.38440200,0.39021900,0.39162300,0.39173600,0.39169300,0.39165600,0.39164500,0.39163100
15.263160,0.36420700,0.37423200,0.37030900,0.39449300,0.40825100,0.41103400,0.41125600,0.41116600,0.41108700,0.41106000,0.41101800
15.300750,0.40161800,0.36517800,0.37945400,0.42231900,0.44698200,0.45141300,0.45174800,0.45160100,0.45146800,0.45142000,0.45134500
15.338350,0.45339700,0.35369800,0.40357200,0.47092300,0.49829600,0.50247100,0.50278200,0.50262800,0.50250200,0.50245700,0.50238600
15.375940,0.50264800,0.35381700,0.44843400,0.51574900,0.53164400,0.53388600,0.53406400,0.53393200,0.53385600,0.53383000,0.53379200
15.413530,0.50683700,0.37618900,0.49425100,0.53419900,0.54651500,0.54906500,0.54927500,0.54908800,0.54898700,0.54895000,0.54889800
15.451130,0.46242500,0.41293700,0.51436100,0.55137400,0.57481200,0.57911000,0.57943600,0.57918900,0.57903100,0.57897500,0.57888600
15.488720,0.42257600,0.43302800,0.52657400,0.58935900,0.61576800,0.61947300,0.61971200,0.61952400,0.61939300,0.61935200,0.61927800
15.526320,0.41625200,0.42295200,0.56137400,0.62779300,0.64104900,0.64235200,0.64235400,0.64227600,0.64222100,0.64221000,0.64218500
15.563910,0.43725100,0.41431500,0.61100600,0.64475500,0.64820700,0.64920800,0.64914000,0.64904800,0.64898500,0.64897000,0.64894500
15.601500,0.45043900,0.43149700,0.64351000,0.65696100,0.67505700,0.68000800,0.68020100,0.67992600,0.67973200,0.67966000,0.67954900
15.639100,0.42795300,0.47448200,0.65406400,0.70865500,0.76019000,0.77069300,0.77126400,0.77076600,0.77040400,0.77026300,0.77003900
15.676690,0.39528900,0.52944100,0.68648400,0.82041400,0.88872000,0.89927400,0.89985800,0.89940200,0.89906600,0.89893400,0.89872000
15.714280,0.38030800,0.57883200,0.77947000,0.93498500,0.95667500,0.95616000,0.95608400,0.95615700,0.95620800,0.95622900,0.95626300
15.751880,0.38509800,0.61131000,0.90650500,0.93419200,0.89115400,0.88203900,0.88151100,0.88197300,0.88231200,0.88244800,0.88266100
15.789470,0.40830100,0.62392400,0.95391400,0.83183400,0.78639700,0.77920900,0.77885000,0.77923900,0.77952200,0.77963600,0.77980500
15.827070,0.44823300,0.64683200,0.87293300,0.74363400,0.72274100,0.71914700,0.71898000,0.71918800,0.71933400,0.71939400,0.71948300
15.864660,0.48699100,0.72116100,0.77166200,0.70160500,0.68796400,0.68518300,0.68499000,0.68508100,0.68514000,0.68516300,0.68522100
15.902260,0.51680100,0.84519400,0.71484200,0.67751200,0.66810700,0.66737900,0.66730400,0.66727400,0.66724200,0.66722700,0.66723000
15.939850,0.55375100,0.93516400,0.68181600,0.67473600,0.69044800,0.69459700,0.69488100,0.69468200,0.69452200,0.69445700,0.69435600
15.977440,0.59806700,0.90413400,0.66367000,0.72517300,0.77862400,0.78865300,0.78937400,0.78898400,0.78868200,0.78855700,0.78833700
16.015040,0.65303300,0.82450700,0.69030300,0.84321200,0.92899700,0.94265000,0.94363100,0.94312300,0.94274900,0.94259500,0.94230300
16.052630,0.72599400,0.79689300,0.78323600,1.00220800,1.08379600,1.09396100,1.09468700,1.09429500,1.09405000,1.09394800,1.09373200
16.090230,0.81879300,0.83716400,0.93498200,1.12322900,1.16007700,1.16215400,1.16229700,1.16217300,1.16215700,1.16214500,1.16210100
16.127820,0.93409400,0.90339100,1.08160900,1.15360500,1.13717000,1.13140800,1.13095000,1.13107800,1.13124600,1.13131000,1.13143000
16.165410,1.00438400,0.95742500,1.14736100,1.09568200,1.04244600,1.03367700,1.03299400,1.03319900,1.03341600,1.03350800,1.03368300
16.203010,0.96631200,1.01771700,1.12784300,0.99711100,0.95741500,0.95272000,0.95234300,0.95238500,0.95249100,0.95254400,0.95262700
16.240600,0.90539700,1.09559400,1.04175500,0.94063900,0.93619600,0.93646200,0.93635700,0.93612800,0.93605400,0.93603300,0.93599800
16.278190,0.90663400,1.14592200,0.96037400,0.95171500,0.96736500,0.97043000,0.97035100,0.96983200,0.96956800,0.96946100,0.96933500
16.315790,0.96806300,1.13163000,0.94592300,1.00678000,1.03484000,1.04055700,1.04062400,1.03996800,1.03960500,1.03945700,1.03926400
16.353380,1.05354800,1.06556000,0.99365600,1.08728400,1.12779600,1.13536100,1.13571400,1.13519300,1.13487800,1.13475600,1.13455100
16.390980,1.13076900,1.03021700,1.07015800,1.18015300,1.24258600,1.25444700,1.25526700,1.25476400,1.25443000,1.25431000,1.25403800
16.428570,1.20882900,1.07256100,1.15367100,1.32022000,1.44025700,1.46201300,1.46355900,1.46268300,1.46211200,1.46191000,1.46143000
16.466160,1.34321600,1.16494800,1.26009700,1.57958200,1.77165300,1.80318900,1.80534800,1.80405000,1.80321900,1.80292400,1.80223300
16.503760,1.49098300,1.26633400,1.46026300,1.96065300,2.17132700,2.20052000,2.20242600,2.20121500,2.20045300,2.20019100,2.19954800
16.541350,1.51236800,1.39466700,1.78794600,2.33029200,2.46390900,2.47753700,2.47829500,2.47753200,2.47710500,2.47697400,2.47661700
16.578950,1.41011100,1.59024000,2.16323000,2.55217500,2.61288700,2.61916800,2.61928500,2.61837100,2.61792400,2.61777300,2.61746900
16.616540,1.34450700,1.85750100,2.45253000,2.70352800,2.77670800,2.78805600,2.78843100,2.78715600,2.78648900,2.78624700,2.78580800
16.654130,1.38955700,2.15681500,2.63960400,2.89103800,2.95688700,2.96509900,2.96533400,2.96467400,2.96428000,2.96413600,2.96389100
16.691730,1.49120900,2.43341500,2.81509800,2.99398600,2.97520700,2.97021700,2.96963400,2.97004800,2.97023200,2.97030100,2.97047500
16.729320,1.58883700,2.59192700,2.94778900,2.90497700,2.80528000,2.78882400,2.78744400,2.78834300,2.78887200,2.78907300,2.78949300
16.766920,1.71957700,2.66531100,2.93719900,2.67640100,2.54225900,2.52210200,2.52057300,2.52150500,2.52210900,2.52234800,2.52280400
16.804510,1.84650200,2.78878800,2.78697300,2.41325600,2.30284600,2.28626800,2.28498500,2.28551900,2.28592700,2.28609900,2.28642000
16.842100,1.84707900,2.96988700,2.53549100,2.21809700,2.13849700,2.12535000,2.12415200,2.12420400,2.12434800,2.12441400,2.12460300
16.879700,1.80660800,3.04241500,2.31542700,2.08393100,2.00502800,1.99197000,1.99078100,1.99085400,1.99097900,1.99102300,1.99123500
16.917290,1.90850000,2.90912300,2.18021100,1.93163100,1.82172400,1.80413600,1.80283300,1.80346700,1.80386700,1.80400300,1.80439500
16.954890,2.23126100,2.67314900,2.03320700,1.69616300,1.55481700,1.53432600,1.53301400,1.53404900,1.53464500,1.53485400,1.53535400
16.992480,2.73606100,2.42634100,1.81042600,1.41226400,1.29121000,1.27564200,1.27467700,1.27551500,1.27598500,1.27615000,1.27653500
17.030080,3.24076100,2.14420000,1.52235200,1.18992200,1.12009700,1.11207000,1.11152900,1.11194600,1.11217600,1.11225500,1.11245000
17.067670,3.56573800,1.81389100,1.26576900,1.07205200,1.04503200,1.04240000,1.04215800,1.04225500,1.04231400,1.04233700,1.04239100
17.105260,3.68766800,1.51807600,1.11091700,1.03358600,1.03002900,1.03041200,1.03037400,1.03030700,1.03029100,1.03029600,1.03027300
17.142850,3.59828000,1.33971900,1.04496000,1.04139000,1.05947100,1.06357800,1.06376300,1.06348500,1.06336300,1.06333900,1.06322000
17.180450,3.27381200,1.27308300,1.02703900,1.10214300,1.15116900,1.15941100,1.15973200,1.15912600,1.15884400,1.15876800,1.15852500
17.218040,2.83501600,1.26004500,1.05909300,1.22789700,1.29536700,1.30370900,1.30382200,1.30292800,1.30253900,1.30242300,1.30211400
17.255640,2.48804000,1.24610100,1.17207800,1.38128400,1.43759000,1.44145100,1.44111800,1.44012500,1.43973500,1.43961000,1.43933000
17.293230,2.27427000,1.26122300,1.35358300,1.50567400,1.53811000,1.53837500,1.53794400,1.53724600,1.53697000,1.53687500,1.53670200
17.330830,2.14493700,1.36892100,1.52631000,1.56841500,1.56004100,1.55611400,1.55577700,1.55586400,1.55588200,1.55587800,1.55593800
17.368420,2.08560800,1.55273200,1.61375400,1.52602900,1.47959500,1.47305000,1.47276100,1.47334700,1.47356800,1.47362700,1.47383700
17.406010,2.05859600,1.68730600,1.59116400,1.42042800,1.38678200,1.38355900,1.38342700,1.38383200,1.38395500,1.38398400,1.38411300
17.443610,1.99516800,1.66024700,1.48788300,1.35787800,1.34694900,1.34643700,1.34641200,1.34665500,1.34670000,1.34670600,1.34676600
17.481200,1.91174900,1.53779800,1.40268900,1.33518000,1.32235700,1.32186200,1.32185100,1.32212200,1.32219700,1.32221600,1.32228100
17.518800,1.91641100,1.44375200,1.35605400,1.31038600,1.28782000,1.28502300,1.28493700,1.28531200,1.28550000,1.28556500,1.28567300
17.556390,1.99218500,1.38109200,1.31839700,1.25747500,1.21076400,1.20374800,1.20352700,1.20407400,1.20443300,1.20457300,1.20475700
17.593980,2.03859800,1.35945200,1.27177400,1.16394800,1.12101400,1.11570000,1.11556600,1.11592000,1.11621100,1.11633300,1.11643900
17.631580,2.03517500,1.39564700,1.18382100,1.10725000,1.10041000,1.10007000,1.10008400,1.10003600,1.10012900,1.10018600,1.10013000
17.669170,1.92725500,1.41730100,1.11622600,1.13455300,1.15093700,1.15186900,1.15180100,1.15159300,1.15161500,1.15165700,1.15153200
17.706770,1.66717200,1.38053100,1.13987200,1.19450600,1.19576800,1.19376200,1.19364000,1.19390000,1.19407200,1.19416700,1.19415600
17.744360,1.38717200,1.30248000,1.22772000,1.19624100,1.16181400,1.15695700,1.15710900,1.15831400,1.15874500,1.15890600,1.15911100
17.781950,1.18163700,1.23322400,1.26091500,1.11955900,1.06961100,1.06520500,1.06566100,1.06738900,1.06794000,1.06813100,1.06840800
17.819550,1.05553800,1.17810300,1.19694500,1.04113700,1.00821000,1.00690600,1.00761900,1.00942300,1.01001000,1.01024000,1.01045400
17.857140,0.98131100,1.09657800,1.12175000,1.01018400,0.99694500,0.99677400,0.99749900,0.99915000,0.99981900,1.00013800,1.00032100
17.894740,0.89752500,1.02232500,1.06505400,0.98847500,0.97615400,0.97375000,0.97401200,0.97498500,0.97550600,0.97579400,0.97597200
17.932330,0.78908900,0.97446100,0.99222000,0.92700400,0.90499900,0.90059600,0.90027800,0.90025700,0.90034600,0.90042300,0.90053800
17.969920,0.70238100,0.91191200,0.88992400,0.83461400,0.80971800,0.80597100,0.80542600,0.80474000,0.80450200,0.80438500,0.80440400
18.007520,0.65989700,0.81462700,0.78597200,0.75010200,0.73472500,0.73346700,0.73309000,0.73233700,0.73204300,0.73188300,0.73183700
18.045110,0.65318200,0.71239200,0.70291000,0.70236700,0.70378400,0.70518400,0.70512800,0.70464200,0.70444900,0.70433700,0.70426800
18.082710,0.66856800,0.63776800,0.65682200,0.69684100,0.71006600,0.71280400,0.71297200,0.71280000,0.71273900,0.71269100,0.71262800
18.120300,0.70311400,0.60290700,0.65240500,0.71799200,0.73513400,0.73845700,0.73875400,0.73883100,0.73887200,0.73887200,0.73881700
18.157890,0.73529200,0.60075000,0.68099100,0.75716200,0.78375500,0.78942700,0.78998200,0.79024600,0.79035400,0.79038900,0.79030000
18.195490,0.73820300,0.62159300,0.73509500,0.83240300,0.88268300,0.89269300,0.89367700,0.89414300,0.89432500,0.89439800,0.89424400
18.233080,0.74008900,0.67180000,0.81799700,0.96776900,1.04432600,1.05799500,1.05936000,1.06009500,1.06039600,1.06052500,1.06032500
18.270680,0.76825800,0.76589400,0.94274100,1.15500100,1.23830700,1.25142300,1.25277400,1.25367300,1.25406300,1.25422200,1.25404300
18.308270,0.80902000,0.90402800,1.11718000,1.33815400,1.40301600,1.41248000,1.41336600,1.41389200,1.41408100,1.41413000,1.41397800
18.345860,0.84282900,1.05865000,1.30100400,1.47086100,1.51264400,1.51901800,1.51956600,1.51980900,1.51982200,1.51977400,1.51964800
18.383460,0.86734700,1.19278000,1.45415600,1.56324100,1.60280200,1.61066500,1.61165600,1.61249900,1.61278000,1.61283800,1.61274200
18.421050,0.91486300,1.29113100,1.60528000,1.68219200,1.76084400,1.77639500,1.77847900,1.78033100,1.78105800,1.78129800,1.78116100
18.458640,1.02957900,1.37942200,1.78386500,1.90898000,2.02908300,2.04945200,2.05231300,2.05506800,2.05625400,2.05668500,2.05655200
18.496240,1.24465400,1.48878100,2.02262100,2.19651200,2.28244900,2.29213100,2.29399100,2.29647900,2.29772400,2.29820800,2.29825800
18.533830,1.57700400,1.65550100,2.27529100,2.33153500,2.30184000,2.29160000,2.29103400,2.29147800,2.29185400,2.29199600,2.29220400
18.571430,1.96528800,1.91890900,2.35168200,2.20036900,2.09999600,2.08352300,2.08188600,2.08076000,2.08027700,2.08003800,2.08017300
18.609020,2.22670000,2.20399800,2.19836700,1.97952300,1.90345500,1.89375800,1.89274300,1.89175400,1.89122200,1.89093400,1.89094600
18.646610,2.28847000,2.31774600,1.99495100,1.83929700,1.79331400,1.78727300,1.78641100,1.78531300,1.78462400,1.78424400,1.78419500
18.684210,2.26220300,2.23529100,1.86563100,1.73256200,1.67529500,1.66741800,1.66602700,1.66426900,1.66317400,1.66260100,1.66253900
18.721800,2.28194100,2.09712600,1.74834700,1.59606400,1.54956100,1.54533900,1.54428900,1.54270600,1.54160000,1.54098900,1.54086700
18.759400,2.47138500,2.01518300,1.61321500,1.51523300,1.51882700,1.52386600,1.52389300,1.52307700,1.52218300,1.52161000,1.52136200
18.796990,2.78341200,1.95298800,1.54897900,1.56874000,1.63522900,1.65097200,1.65221300,1.65219700,1.65150200,1.65094800,1.65054800
18.834590,3.00576200,1.84464900,1.62180900,1.76946700,1.89090100,1.91431300,1.91650900,1.91719400,1.91681000,1.91636100,1.91588700
18.872180,3.05287100,1.73819900,1.82940900,2.06363300,2.19656900,2.21739200,2.21967300,2.22085000,2.22104500,2.22092900,2.22059600
18.909770,2.95770700,1.72780000,2.10295400,2.32535700,2.41354000,2.42404600,2.42560800,2.42692100,2.42757300,2.42774200,2.42762000
18.947370,2.81239700,1.86843800,2.34837900,2.48256100,2.54936500,2.55884800,2.56043500,2.56197800,2.56268500,2.56283900,2.56269200
18.984960,2.78919600,2.14888200,2.54805100,2.65417300,2.77169000,2.79144500,2.79397000,2.79585400,2.79635600,2.79630300,2.79591700
19.022560,2.92193500,2.46877400,2.80691300,2.97325800,3.14288800,3.17167300,3.17470600,3.17641100,3.17631000,3.17588100,3.17524800
19.060150,3.14913900,2.75527000,3.21284300,3.40651400,3.57532400,3.60582600,3.60885900,3.61046000,3.60987900,3.60914000,3.60846200
19.097740,3.41194000,3.05627800,3.70517400,3.80655400,3.91196300,3.93135700,3.93348600,3.93498300,3.93470000,3.93418000,3.93380300
19.135340,3.53884000,3.40839300,4.03388600,4.00465400,4.02637100,4.02869500,4.02933400,4.03036400,4.03081600,4.03090900,4.03097800
19.172930,3.39332600,3.71540300,4.04233200,3.97763800,3.96180100,3.95683800,3.95678000,3.95743600,3.95822900,3.95866200,3.95891800
19.210530,3.14882100,3.87769000,3.88748300,3.87737300,3.87118400,3.86723900,3.86692300,3.86703100,3.86745900,3.86778800,3.86798100
19.248120,3.04358800,3.88394500,3.75978600,3.79911900,3.77947400,3.77349600,3.77278700,3.77234700,3.77258200,3.77290700,3.77310900
19.285710,3.10195100,3.72005900,3.63888500,3.70446600,3.67918200,3.67569900,3.67550300,3.67540200,3.67578600,3.67612900,3.67630300
19.323310,3.22027000,3.52468300,3.53663900,3.64053900,3.64224400,3.64531700,3.64601700,3.64654900,3.64686700,3.64698500,3.64702300
19.360900,3.35812800,3.43717300,3.53125400,3.65124200,3.68853600,3.69853800,3.70007900,3.70119100,3.70144700,3.70140300,3.70129200
19.398490,3.50343700,3.45280000,3.57467200,3.73973900,3.81086700,3.82433200,3.82629400,3.82793800,3.82841800,3.82848900,3.82835000
19.436090,3.59966900,3.48577500,3.63314700,3.86272500,3.92596500,3.93441900,3.93568700,3.93714700,3.93758900,3.93774800,3.93769100
19.473680,3.61415200,3.46053200,3.73993500,3.93115900,3.93696000,3.93256100,3.93216100,3.93252200,3.93265900,3.93284500,3.93294200
19.511280,3.51078800,3.39604400,3.86211400,3.85099200,3.75250400,3.73109000,3.72869600,3.72765000,3.72767100,3.72802400,3.72839300
19.548870,3.28031400,3.35986000,3.82844000,3.55729000,3.39469900,3.36624100,3.36310700,3.36157100,3.36178100,3.36231900,3.36287000
19.586470,2.96028000,3.38325700,3.52005700,3.16345000,2.99287400,2.96445100,2.96119500,2.95943300,2.95956300,2.95999000,2.96052800
19.624060,2.67506800,3.39334700,3.09215400,2.78292100,2.63009700,2.60694000,2.60405300,2.60217900,2.60189100,2.60197200,2.60232000
19.661650,2.58428300,3.29304800,2.70340500,2.48142300,2.38574200,2.37511000,2.37349300,2.37212400,2.37149200,2.37123100,2.37129500
19.699250,2.72045800,3.08034000,2.45447900,2.34213100,2.34026800,2.34727600,2.34766400,2.34752300,2.34689900,2.34644300,2.34621300
19.736840,2.96160300,2.85911300,2.38915500,2.42270000,2.50931600,2.52968600,2.53172100,2.53276800,2.53241600,2.53195800,2.53155900
19.774440,3.08289800,2.73225500,2.50532000,2.65947100,2.75528400,2.77110700,2.77303000,2.77441400,2.77471800,2.77467700,2.77446700
19.812030,2.96421900,2.72813000,2.68615100,2.82684900,2.83653900,2.83330200,2.83376700,2.83487100,2.83619100,2.83691000,2.83717600
19.849620,2.71261000,2.79963400,2.70026100,2.76654000,2.70713700,2.69373300,2.69345600,2.69448500,2.69639700,2.69753000,2.69804700
19.887220,2.44266900,2.78506500,2.52544700,2.59235100,2.53813800,2.52883500,2.52872300,2.52963200,2.53109900,2.53201300,2.53242900
19.924810,2.18350900,2.55957000,2.33879700,2.46610100,2.45901000,2.46117600,2.46196800,2.46317200,2.46405300,2.46463500,2.46482800
19.962400,1.96113600,2.25601000,2.26758400,2.47337900,2.53663300,2.55149600,2.55360500,2.55565100,2.55648400,2.55694000,2.55695700
20.000000,1.81030500,2.05638700,2.32492200,2.62796100,2.71490100,2.72941700,2.73115400,2.73290400,2.73351500,2.73384400,2.73384000
